id,item_id,item_num,price,prob,is_discount,discount_price,discount_begin_time,discount_duration_time
id,物品id,物品数量,价格,出现概率,是否有折扣,折扣价,打折开始时间,打折持续时间（小时为单位）
number,number,number,number,number,bool,number,string,number
1,60000001,1,100,100,TRUE,50,2016/1/27 0:00,24
2,60000002,1,100,100,TRUE,50,2016/1/27 0:00,24
3,60000003,1,100,100,TRUE,50,2016/1/27 0:00,24
4,60000004,1,100,100,TRUE,50,2016/1/27 0:00,24
5,60000005,1,100,100,TRUE,50,2016/1/27 0:00,24
6,60000006,1,100,100,TRUE,50,2016/1/27 0:00,24
7,60000007,1,100,100,TRUE,50,2016/1/27 0:00,24
8,60000008,1,100,100,TRUE,50,2016/1/27 0:00,24
9,60000009,1,100,100,TRUE,50,2016/1/27 0:00,24
10,60000010,1,100,100,TRUE,50,2016/1/27 0:00,24
11,60000011,1,100,100,TRUE,50,2016/1/27 0:00,24
12,60000012,1,100,100,TRUE,50,2016/1/27 0:00,24
13,60000013,1,100,100,TRUE,50,2016/1/27 0:00,24
14,60000014,1,100,100,TRUE,50,2016/1/27 0:00,24
15,60000015,1,100,100,TRUE,50,2016/1/27 0:00,24
16,60000016,1,100,100,TRUE,50,2016/1/27 0:00,24
