icon,id,type,need_level,add_prop,level_up_cost
图标,id 等于type * 100 + 等级,类型,需要人物等级,增加属性,升级消耗
string,number,number,number,number,string
talent_icon_gj,101,1,10,32,50000005_2000
talent_icon_gj,102,1,10,48,50000005_3000
talent_icon_gj,103,1,10,64,50000005_4000
talent_icon_gj,104,1,10,80,50000005_5000
talent_icon_gj,105,1,10,96,50000005_6000
talent_icon_gj,106,1,10,112,50000005_7000
talent_icon_gj,107,1,10,128,50000005_8000
talent_icon_gj,108,1,10,144,50000005_9000
talent_icon_gj,109,1,10,160,50000005_10000
talent_icon_gj,110,1,20,176,50000005_12000
talent_icon_gj,111,1,20,192,50000005_14000
talent_icon_gj,112,1,20,208,50000005_16000
talent_icon_gj,113,1,20,224,50000005_18000
talent_icon_gj,114,1,20,240,50000005_20000
talent_icon_gj,115,1,20,256,50000005_22000
talent_icon_gj,116,1,20,272,50000005_24000
talent_icon_gj,117,1,20,288,50000005_26000
talent_icon_gj,118,1,20,304,50000005_28000
talent_icon_gj,119,1,20,320,50000005_30000
talent_icon_gj,120,1,30,336,50000005_33000
talent_icon_gj,121,1,30,352,50000005_36000
talent_icon_gj,122,1,30,368,50000005_39000
talent_icon_gj,123,1,30,384,50000005_42000
talent_icon_gj,124,1,30,400,50000005_45000
talent_icon_gj,125,1,30,416,50000005_48000
talent_icon_gj,126,1,30,432,50000005_51000
talent_icon_gj,127,1,30,448,50000005_54000
talent_icon_gj,128,1,30,464,50000005_57000
talent_icon_gj,129,1,30,480,50000005_60000
talent_icon_gj,130,1,40,496,50000005_64000
talent_icon_gj,131,1,40,512,50000005_68000
talent_icon_gj,132,1,40,528,50000005_72000
talent_icon_gj,133,1,40,544,50000005_76000
talent_icon_gj,134,1,40,560,50000005_80000
talent_icon_gj,135,1,40,576,50000005_84000
talent_icon_gj,136,1,40,592,50000005_88000
talent_icon_gj,137,1,40,608,50000005_92000
talent_icon_gj,138,1,40,624,50000005_96000
talent_icon_gj,139,1,40,640,50000005_100000
talent_icon_gj,140,1,50,656,50000005_110000
talent_icon_gj,141,1,50,672,50000005_120000
talent_icon_gj,142,1,50,688,50000005_130000
talent_icon_gj,143,1,50,704,50000005_140000
talent_icon_gj,144,1,50,720,50000005_150000
talent_icon_gj,145,1,50,736,50000005_160000
talent_icon_gj,146,1,50,752,50000005_170000
talent_icon_gj,147,1,50,768,50000005_180000
talent_icon_gj,148,1,50,784,50000005_190000
talent_icon_gj,149,1,50,800,50000005_200000
talent_icon_gj,150,1,50,816,50000005_0
talent_icon_fy,201,2,10,16,50000005_1000
talent_icon_fy,202,2,10,24,50000005_1500
talent_icon_fy,203,2,10,32,50000005_2000
talent_icon_fy,204,2,10,40,50000005_2500
talent_icon_fy,205,2,10,48,50000005_3000
talent_icon_fy,206,2,10,56,50000005_3500
talent_icon_fy,207,2,10,64,50000005_4000
talent_icon_fy,208,2,10,72,50000005_4500
talent_icon_fy,209,2,10,80,50000005_5000
talent_icon_fy,210,2,20,88,50000005_6000
talent_icon_fy,211,2,20,96,50000005_7000
talent_icon_fy,212,2,20,104,50000005_8000
talent_icon_fy,213,2,20,112,50000005_9000
talent_icon_fy,214,2,20,120,50000005_10000
talent_icon_fy,215,2,20,128,50000005_11000
talent_icon_fy,216,2,20,136,50000005_12000
talent_icon_fy,217,2,20,144,50000005_13000
talent_icon_fy,218,2,20,152,50000005_14000
talent_icon_fy,219,2,20,160,50000005_15000
talent_icon_fy,220,2,30,168,50000005_16500
talent_icon_fy,221,2,30,176,50000005_18000
talent_icon_fy,222,2,30,184,50000005_19500
talent_icon_fy,223,2,30,192,50000005_21000
talent_icon_fy,224,2,30,200,50000005_22500
talent_icon_fy,225,2,30,208,50000005_24000
talent_icon_fy,226,2,30,216,50000005_25500
talent_icon_fy,227,2,30,224,50000005_27000
talent_icon_fy,228,2,30,232,50000005_28500
talent_icon_fy,229,2,30,240,50000005_30000
talent_icon_fy,230,2,40,248,50000005_32000
talent_icon_fy,231,2,40,256,50000005_34000
talent_icon_fy,232,2,40,264,50000005_36000
talent_icon_fy,233,2,40,272,50000005_38000
talent_icon_fy,234,2,40,280,50000005_40000
talent_icon_fy,235,2,40,288,50000005_42000
talent_icon_fy,236,2,40,296,50000005_44000
talent_icon_fy,237,2,40,304,50000005_46000
talent_icon_fy,238,2,40,312,50000005_48000
talent_icon_fy,239,2,40,320,50000005_50000
talent_icon_fy,240,2,50,328,50000005_55000
talent_icon_fy,241,2,50,336,50000005_60000
talent_icon_fy,242,2,50,344,50000005_65000
talent_icon_fy,243,2,50,352,50000005_70000
talent_icon_fy,244,2,50,360,50000005_75000
talent_icon_fy,245,2,50,368,50000005_80000
talent_icon_fy,246,2,50,376,50000005_85000
talent_icon_fy,247,2,50,384,50000005_90000
talent_icon_fy,248,2,50,392,50000005_95000
talent_icon_fy,249,2,50,400,50000005_100000
talent_icon_fy,250,2,50,408,50000005_0
talent_icon_hp,301,3,10,256,50000005_1000
talent_icon_hp,302,3,10,384,50000005_1500
talent_icon_hp,303,3,10,512,50000005_2000
talent_icon_hp,304,3,10,640,50000005_2500
talent_icon_hp,305,3,10,768,50000005_3000
talent_icon_hp,306,3,10,896,50000005_3500
talent_icon_hp,307,3,10,1024,50000005_4000
talent_icon_hp,308,3,10,1152,50000005_4500
talent_icon_hp,309,3,10,1280,50000005_5000
talent_icon_hp,310,3,20,1408,50000005_6000
talent_icon_hp,311,3,20,1536,50000005_7000
talent_icon_hp,312,3,20,1664,50000005_8000
talent_icon_hp,313,3,20,1792,50000005_9000
talent_icon_hp,314,3,20,1920,50000005_10000
talent_icon_hp,315,3,20,2048,50000005_11000
